fp_paragraph_id,compare_paragraph_id,type,ai_probability
pride_and_prejudice_TClass_P26,pride_and_prejudice_TFamil_P20,correct_human,0.0016584983095526
pride_and_prejudice_TClass_P26,pride_and_prejudice_TFamil_P44,correct_human,0.0076252976432442
pride_and_prejudice_TClass_P26,pride_and_prejudice_TReput_P18,correct_human,0.0007771086529828
pride_and_prejudice_TClass_P26,pride_and_prejudice_TPride_P47,correct_ai,0.9995394945144652
pride_and_prejudice_TClass_P26,pride_and_prejudice_TFamil_P17,correct_ai,0.99808669090271
pride_and_prejudice_TClass_P26,pride_and_prejudice_TReput_P11,correct_ai,0.999920129776001
pride_and_prejudice_TReput_P20,pride_and_prejudice_TFamil_P20,correct_human,0.0016584983095526
pride_and_prejudice_TReput_P20,pride_and_prejudice_TFamil_P44,correct_human,0.0076252976432442
pride_and_prejudice_TReput_P20,pride_and_prejudice_TReput_P18,correct_human,0.0007771086529828
pride_and_prejudice_TReput_P20,pride_and_prejudice_TPride_P47,correct_ai,0.9995394945144652
pride_and_prejudice_TReput_P20,pride_and_prejudice_TFamil_P17,correct_ai,0.99808669090271
pride_and_prejudice_TReput_P20,pride_and_prejudice_TReput_P11,correct_ai,0.999920129776001
pride_and_prejudice_TClass_P22,pride_and_prejudice_TFamil_P20,correct_human,0.0016584983095526
pride_and_prejudice_TClass_P22,pride_and_prejudice_TFamil_P44,correct_human,0.0076252976432442
pride_and_prejudice_TClass_P22,pride_and_prejudice_TReput_P18,correct_human,0.0007771086529828
pride_and_prejudice_TClass_P22,pride_and_prejudice_TPride_P47,correct_ai,0.9995394945144652
pride_and_prejudice_TClass_P22,pride_and_prejudice_TFamil_P17,correct_ai,0.99808669090271
pride_and_prejudice_TClass_P22,pride_and_prejudice_TReput_P11,correct_ai,0.999920129776001
