paragraph_id,author,book,topic,text,label
great_expectations_TAmbit_P1,dickens,great_expectations,Ambition and Self-Improvement,"Joe and I going to church, therefore, must have been a moving spectacle
for compassionate minds. Yet, what I suffered outside was nothing to
what I underwent within. The terrors that had assailed me whenever Mrs.
Joe had gone near the pantry, or out of the room, were only to be
equalled by the remorse with which my mind dwelt on what my hands had
done. Under the weight of my wicked secret, I pondered whether the
Church would be powerful enough to shield me from the vengeance of the
terrible young man, if I divulged to that establishment. I conceived
the idea that the time when the banns were read and when the clergyman
said, “Ye are now to declare it!” would be the time for me to rise and
propose a private conference in the vestry. I am far from being sure
that I might not have astonished our small congregation by resorting to
this extreme measure, but for its being Christmas Day and no Sunday.",0
great_expectations_TAmbit_P1,dickens,great_expectations,Ambition and Self-Improvement,"Joe and I, wending our way to the house of prayer, presented a spectacle that might have moved the tenderest heart; yet the turmoil within my breast eclipsed any outward pity. The dread that seized me whenever Mrs. Joe ventured toward the pantry, or slipped from the room, was matched only by the remorse that gnawed at my soul for the deed my hands had wrought. Beneath the burden of this wicked secret, I mused whether the sanctuary of the church could shield me from the vengeance of the dreadful youth, should I divulge my crime to its holy ministers. I imagined that the moment when the banns were proclaimed and the clergyman intoned, “Ye are now to declare it!” would be the fitting hour for me to rise and seek a private conference in the vestry. I cannot say with certainty that I would not have startled our modest congregation by such an extreme recourse, had it not been Christmas Day, and no ordinary Sunday.",1
great_expectations_TAmbit_P2,dickens,great_expectations,Ambition and Self-Improvement,"The apparition of a file of soldiers ringing down the but-ends of their
loaded muskets on our door-step, caused the dinner-party to rise from
table in confusion, and caused Mrs. Joe re-entering the kitchen
empty-handed, to stop short and stare, in her wondering lament of
“Gracious goodness gracious me, what’s gone—with the—pie!”",0
great_expectations_TAmbit_P2,dickens,great_expectations,Ambition and Self-Improvement,"The sudden apparition of a file of soldiers, striking the butts of their loaded muskets against our doorstep, threw the dinner-party into disarray, causing them to leap from their seats in bewilderment. Mrs. Joe, re-entering the kitchen empty-handed, halted abruptly, her eyes wide, and uttered a lament worthy of a startled housewife: “Gracious goodness gracious me, what’s gone—with the—pie!”",1
great_expectations_TAmbit_P3,dickens,great_expectations,Ambition and Self-Improvement,"“Excuse me, ladies and gentleman,” said the sergeant, “but as I have
mentioned at the door to this smart young shaver,” (which he hadn’t),
“I am on a chase in the name of the king, and I want the blacksmith.”",0
great_expectations_TAmbit_P3,dickens,great_expectations,Ambition and Self-Improvement,"“Pardon me, ladies and gentlemen,” said the sergeant, “though I have made mention at the door to this smart young shaver”—though he had not—“I am engaged in a pursuit upon the king’s business, and I require the blacksmith’s aid.”",1
great_expectations_TAmbit_P4,dickens,great_expectations,Ambition and Self-Improvement,"The sergeant took a polite leave of the ladies, and parted from Mr.
Pumblechook as from a comrade; though I doubt if he were quite as fully
sensible of that gentleman’s merits under arid conditions, as when
something moist was going. His men resumed their muskets and fell in.
Mr. Wopsle, Joe, and I, received strict charge to keep in the rear, and
to speak no word after we reached the marshes. When we were all out in
the raw air and were steadily moving towards our business, I
treasonably whispered to Joe, “I hope, Joe, we shan’t find them.” and
Joe whispered to me, “I’d give a shilling if they had cut and run,
Pip.”",0
great_expectations_TAmbit_P4,dickens,great_expectations,Ambition and Self-Improvement,"The sergeant took his courteous leave of the ladies, and bade farewell to Mr. Pumblechook as one might part from a comrade—though I doubt he fully appreciated that gentleman’s virtues in arid circumstances, as he would when some moisture was about. His men shouldered their muskets and fell into step. Mr. Wopsle, Joe, and I were given strict injunction to remain in the rear and to utter no word once we reached the marshes. As we stepped into the raw air and proceeded steadily toward our errand, I, treasonously, whispered to Joe, “I hope, Joe, we shan’t find them.” Joe, in turn, whispered back, “I’d give a shilling if they had cut and run, Pip.”",1
great_expectations_TAmbit_P5,dickens,great_expectations,Ambition and Self-Improvement,"“Tried to murder him?” said my convict, disdainfully. “Try, and not do
it? I took him, and giv’ him up; that’s what I done. I not only
prevented him getting off the marshes, but I dragged him here,—dragged
him this far on his way back. He’s a gentleman, if you please, this
villain. Now, the Hulks has got its gentleman again, through me. Murder
him? Worth my while, too, to murder him, when I could do worse and drag
him back!”",0
great_expectations_TAmbit_P5,dickens,great_expectations,Ambition and Self-Improvement,"“Tried to murder him?” exclaimed the convict, with disdain. “To attempt and not achieve? I seized him, and delivered him up; that is what I did. Not only did I thwart his escape from the marshes, but I dragged him hither—dragged him this far upon his return. He is a gentleman, if you please, this villain. Now the Hulks boast a gentleman once more, thanks to me. To murder him? It would be worth my while, too, to slay him, when I could do worse and drag him back!”",1
great_expectations_TAmbit_P6,dickens,great_expectations,Ambition and Self-Improvement,"“Good stuff, eh, sergeant?” said Mr. Pumblechook.",0
great_expectations_TAmbit_P6,dickens,great_expectations,Ambition and Self-Improvement,"“Fine fare, eh, sergeant?” remarked Mr. Pumblechook.",1
great_expectations_TAmbit_P7,dickens,great_expectations,Ambition and Self-Improvement,"I clutched the leg of the table again immediately, and pressed it to my
bosom as if it had been the companion of my youth and friend of my
soul. I foresaw what was coming, and I felt that this time I really was
gone.",0
great_expectations_TAmbit_P7,dickens,great_expectations,Ambition and Self-Improvement,"I seized the leg of the table once more, pressing it to my breast as though it were the cherished companion of my youth and the confidant of my soul. I foresaw the impending doom, and felt, this time, that I was truly undone.",1
great_expectations_TAmbit_P8,dickens,great_expectations,Ambition and Self-Improvement,"My sister, Mrs. Joe, with black hair and eyes, had such a prevailing
redness of skin that I sometimes used to wonder whether it was possible
she washed herself with a nutmeg-grater instead of soap. She was tall
and bony, and almost always wore a coarse apron, fastened over her
figure behind with two loops, and having a square impregnable bib in
front, that was stuck full of pins and needles. She made it a powerful
merit in herself, and a strong reproach against Joe, that she wore this
apron so much. Though I really see no reason why she should have worn
it at all; or why, if she did wear it at all, she should not have taken
it off, every day of her life.",0
great_expectations_TAmbit_P8,dickens,great_expectations,Ambition and Self-Improvement,"My sister, Mrs. Joe, possessed sable hair and eyes, and a prevailing ruddiness of complexion that led me at times to wonder whether she cleansed herself with a nutmeg‑grater rather than soap. Tall and bony, she was seldom seen without a coarse apron, fastened behind her figure by two loops, and bearing a stout, impregnable bib before, studded with pins and needles. She regarded this apron as a signal merit of her own, and a pointed reproach against Joe, for she wore it incessantly. I could discern no reason why she should don it at all, nor, if she did, why she should not remove it each day of her life.",1
great_expectations_TAmbit_P9,dickens,great_expectations,Ambition and Self-Improvement,“Say Lord strike you dead if you don’t!” said the man.,0
great_expectations_TAmbit_P9,dickens,great_expectations,Ambition and Self-Improvement,"“Say, Lord strike you dead if you do not!” the man declared.",1
great_expectations_TAmbit_P10,dickens,great_expectations,Ambition and Self-Improvement,"“That’s not so bad,” said the sergeant, reflecting; “even if I was
forced to halt here nigh two hours, that’ll do. How far might you call
yourselves from the marshes, hereabouts? Not above a mile, I reckon?”",0
great_expectations_TAmbit_P10,dickens,great_expectations,Ambition and Self-Improvement,"The sergeant, reflecting, observed, “Even if I were compelled to halt here for nigh two hours, that would suffice. How far, pray, would you estimate yourselves to be from the marshes, about these parts? Not more than a mile, I reckon?”",1
great_expectations_TAmbit_P11,dickens,great_expectations,Ambition and Self-Improvement,"He started, made a short run, and stopped and looked over his shoulder.",0
great_expectations_TAmbit_P11,dickens,great_expectations,Ambition and Self-Improvement,"He set off, made a brief sprint, then halted and glanced over his shoulder.",1
great_expectations_TAmbit_P12,dickens,great_expectations,Ambition and Self-Improvement,"I fully expected to find a Constable in the kitchen, waiting to take me
up. But not only was there no Constable there, but no discovery had yet
been made of the robbery. Mrs. Joe was prodigiously busy in getting the
house ready for the festivities of the day, and Joe had been put upon
the kitchen doorstep to keep him out of the dust-pan,—an article into
which his destiny always led him, sooner or later, when my sister was
vigorously reaping the floors of her establishment.",0
great_expectations_TAmbit_P12,dickens,great_expectations,Ambition and Self-Improvement,"I had fully anticipated finding a constable awaiting in the kitchen, ready to take me into custody. Yet not only was no constable present, but no trace of the robbery had yet been uncovered. Mrs. Joe laboured prodigiously in readying the house for the day’s festivities, while Joe had been stationed upon the kitchen doorstep to keep him clear of the dust‑pan—an article into which his destiny invariably led him, sooner or later, when my sister vigorously swept the floors of her establishment.",1
great_expectations_TAmbit_P13,dickens,great_expectations,Ambition and Self-Improvement,"Among this good company I should have felt myself, even if I hadn’t
robbed the pantry, in a false position. Not because I was squeezed in
at an acute angle of the tablecloth, with the table in my chest, and
the Pumblechookian elbow in my eye, nor because I was not allowed to
speak (I didn’t want to speak), nor because I was regaled with the
scaly tips of the drumsticks of the fowls, and with those obscure
corners of pork of which the pig, when living, had had the least reason
to be vain. No; I should not have minded that, if they would only have
left me alone. But they wouldn’t leave me alone. They seemed to think
the opportunity lost, if they failed to point the conversation at me,
every now and then, and stick the point into me. I might have been an
unfortunate little bull in a Spanish arena, I got so smartingly touched
up by these moral goads.",0
great_expectations_TAmbit_P13,dickens,great_expectations,Ambition and Self-Improvement,"In that assembled company I ought to have felt myself, even had I not pilfered the pantry, in a false stance—not because I was wedged at an acute angle of the tablecloth, with the table pressing against my chest and Mr. Pumblechook’s elbow jabbing my eye, nor because I was forbidden to speak (I had no desire to do so), nor because I was offered the scaly tips of the drumsticks and those obscure corners of pork which the living swine had little cause to pride itself upon. No; I would have endured that, had they but left me in peace. Yet they would not leave me alone; they seemed to think the opportunity lost if they failed to turn the discourse toward me at intervals, and to thrust their pointed remarks into me. I felt as an hapless young bull in a Spanish arena, so smartingly goaded by these moral prods.",1
