paragraph_id,true_label,predicted_label,confidence,text
pride_and_prejudice_TClass_P26,0,1,0.99816436,"“The disagreement subsisting between yourself and my late honoured
     father always gave me much uneasiness; and, since I have had the
     misfortune to lose him, I have frequently wished to heal the
     breach: but, for some time, I was kept back by my own doubts,
     fearing lest it might seem disrespectful to his memory for me to be
     on good terms with anyone with whom it had always pleased him to be
     at variance.”--‘There, Mrs. Bennet.’--“My mind, however, is now
     made up on the subject; for, having received ordination at Easter,
     I have been so fortunate as to be distinguished by the patronage of
     the Right Honourable Lady Catherine de Bourgh, widow of Sir Lewis
     de Bourgh, whose bounty and beneficence has preferred me to the
     valuable rectory of this parish, where it shall be my earnest
     endeavour to demean myself with grateful respect towards her
     Ladyship, and be ever ready to perform those rites and ceremonies
     which are instituted by the Church of England. As a clergyman,
     moreover, I feel it my duty to promote and establish the blessing
     of peace in all families within the reach of my influence; and on
     these grounds I flatter myself that my present overtures of
     good-will are highly commendable, and that the circumstance of my
     being next in the entail of Longbourn estate will be kindly
     overlooked on your side, and not lead you to reject the offered
     olive branch. I cannot be otherwise than concerned at being the
     means of injuring your amiable daughters, and beg leave to
     apologize for it, as well as to assure you of my readiness to make
     them every possible amends; but of this hereafter. If you should
     have no objection to receive me into your house, I propose myself
     the satisfaction of waiting on you and your family, Monday,
     November 18th, by four o’clock, and shall probably trespass on your
     hospitality till the Saturday se’nnight following, which I can do
     without any inconvenience, as Lady Catherine is far from objecting
     to my occasional absence on a Sunday, provided that some other
     clergyman is engaged to do the duty of the day. I remain, dear sir,
     with respectful compliments to your lady and daughters, your
     well-wisher and friend,"
pride_and_prejudice_TReput_P20,0,1,0.99816436,"“The disagreement subsisting between yourself and my late honoured
     father always gave me much uneasiness; and, since I have had the
     misfortune to lose him, I have frequently wished to heal the
     breach: but, for some time, I was kept back by my own doubts,
     fearing lest it might seem disrespectful to his memory for me to be
     on good terms with anyone with whom it had always pleased him to be
     at variance.”--‘There, Mrs. Bennet.’--“My mind, however, is now
     made up on the subject; for, having received ordination at Easter,
     I have been so fortunate as to be distinguished by the patronage of
     the Right Honourable Lady Catherine de Bourgh, widow of Sir Lewis
     de Bourgh, whose bounty and beneficence has preferred me to the
     valuable rectory of this parish, where it shall be my earnest
     endeavour to demean myself with grateful respect towards her
     Ladyship, and be ever ready to perform those rites and ceremonies
     which are instituted by the Church of England. As a clergyman,
     moreover, I feel it my duty to promote and establish the blessing
     of peace in all families within the reach of my influence; and on
     these grounds I flatter myself that my present overtures of
     good-will are highly commendable, and that the circumstance of my
     being next in the entail of Longbourn estate will be kindly
     overlooked on your side, and not lead you to reject the offered
     olive branch. I cannot be otherwise than concerned at being the
     means of injuring your amiable daughters, and beg leave to
     apologize for it, as well as to assure you of my readiness to make
     them every possible amends; but of this hereafter. If you should
     have no objection to receive me into your house, I propose myself
     the satisfaction of waiting on you and your family, Monday,
     November 18th, by four o’clock, and shall probably trespass on your
     hospitality till the Saturday se’nnight following, which I can do
     without any inconvenience, as Lady Catherine is far from objecting
     to my occasional absence on a Sunday, provided that some other
     clergyman is engaged to do the duty of the day. I remain, dear sir,
     with respectful compliments to your lady and daughters, your
     well-wisher and friend,"
pride_and_prejudice_TClass_P22,0,1,0.945606,“The person of whom I speak is a gentleman and a stranger.”
pride_and_prejudice_TClass_P29,0,1,0.9074873,"“You allude, perhaps, to the entail of this estate.”"
pride_and_prejudice_TFamil_P41,0,1,0.8888813,"“That is capital,” added her sister; and they both laughed heartily."
pride_and_prejudice_TPride_P49,0,1,0.8558592,“Let her be called down. She shall hear my opinion.”
pride_and_prejudice_TPride_P38,0,1,0.8446865,“Can such abominable pride as his have ever done him good?”
pride_and_prejudice_TPride_P45,0,1,0.7557429,“And never allow yourself to be blinded by prejudice?”
pride_and_prejudice_TReput_P44,0,1,0.75232846,“Meeting accidentally in town”                                       256
pride_and_prejudice_TReput_P40,0,1,0.6827014,“Mr. Darcy with him”                                                 404
pride_and_prejudice_TReput_P46,0,1,0.657161,“Yes; but he seemed to like his second better.”
pride_and_prejudice_TReput_P37,0,1,0.6409401,CHAPTER VIII.
pride_and_prejudice_TReput_P47,1,0,0.46827716,“I hope not.”
pride_and_prejudice_TPride_P26,0,1,0.51810914,“Such as vanity and pride.”
