phrase,human_frequency,ai_frequency,mean_attribution,median_attribution,occurrence_in_ig_test
make it out.âĢĿ,1,1,2.944446761161089,2.944446761161089,1
it out.âĢĿ,1,1,2.93765027821064,2.93765027821064,1
before the ladies.âĢĿ,1,1,2.370535159483552,2.370535159483552,1
the ladies.âĢĿ,5,3,2.3569957688450813,2.3569957688450813,1
miserable. They assuaged,0,0,2.107574773952365,2.107574773952365,1
her. Bingley urged,0,0,1.877603858709335,1.877603858709335,1
physicians. This she,0,0,1.5945776104927063,1.5945776104927063,1
miserable. They,0,0,1.588219754397869,1.588219754397869,1
leave her.,3,2,1.542930006980896,1.542930006980896,1
physicians. This,0,0,1.4869013130664823,1.4869013130664823,1
leave her. Bingley,0,0,1.4687131345272064,1.4687131345272064,1
eminent physicians. This,0,0,1.4564565122127533,1.4564565122127533,1
not leave her.,1,1,1.3876880407333374,1.3876880407333374,1
her. Bingley,0,0,1.3783459961414335,1.3783459961414335,1
here. A fine,0,0,1.2529471246525643,1.2529471246525643,1
âĢľis justifiable here.,0,1,1.16521436534822,1.16521436534822,1
urged that Mr.,0,1,1.163874477148056,1.163874477148056,1
themselves miserable. They,0,0,1.1614299044013023,1.1614299044013023,1
eminent physicians.,1,1,1.10044065117836,1.10044065117836,1
justifiable here. A,0,0,1.0705047426745296,1.0705047426745296,1
justifiable here.,0,1,1.0671398658305409,1.0671398658305409,1
most eminent physicians.,0,1,0.9945970997214316,0.9945970997214316,1
They assuaged,0,1,0.94314425252378,0.94314425252378,1
urged that,1,1,0.8985610008239746,0.8985610008239746,1
here. A,0,0,0.8958784071728587,0.8958784071728587,1
They assuaged their,0,1,0.8878607545047998,0.8878607545047998,1
declared themselves miserable.,0,1,0.8855018839240074,0.8855018839240074,1
Bingley urged that,0,1,0.824344128370285,0.824344128370285,1
themselves miserable.,0,1,0.7376406714320183,0.7376406714320183,1
Mr. Jones should,0,0,0.6983385905623436,0.6983385905623436,1
that Mr. Jones,0,0,0.6809345465153456,0.6809345465153456,2
to his.âĢĿ,33,24,0.6567736454308033,0.6567736454308033,1
equal to his.âĢĿ,1,1,0.6348073929548264,0.6348073929548264,1
that Mr.,3,4,0.6298746597021818,0.6298746597021818,2
"fine young man,",0,1,0.6083623506128788,0.6083623506128788,1
settled that Mr.,0,1,0.5731681324541569,0.5731681324541569,1
A fine young,0,1,0.5264580706134439,0.5264580706134439,1
assuaged their wretchedness,0,1,0.5235536154359579,0.5235536154359579,1
fine young,0,1,0.523093193769455,0.523093193769455,1
"Lizzy,âĢĿ said",0,0,0.5041126683354378,0.5041126683354378,1
Mr. Jones,0,0,0.49736443161964417,0.49736443161964417,2
"âĢľPride,âĢĿ said Miss",0,0,0.4692376106977463,0.4692376106977463,1
assuaged their,0,1,0.4640715215355158,0.4640715215355158,1
This she,2,1,0.463692158460617,0.463692158460617,1
"time, Lizzy,âĢĿ said",0,0,0.4506450025364756,0.4506450025364756,1
you alone. And,0,0,0.4377172095701098,0.4377172095701098,1
Bingley urged,1,1,0.425040990114212,0.425040990114212,1
you alone.,1,1,0.4161366587504744,0.4161366587504744,1
Mr. Jones be,0,0,0.4121922776103019,0.4121922776103019,1
alone. And,0,0,0.4112049816176295,0.4112049816176295,1
for you alone.,0,1,0.4102294258773327,0.4102294258773327,1
This she would,1,1,0.4024638645350933,0.4024638645350933,1
"time, Lizzy,âĢĿ",0,0,0.3847285686060786,0.3847285686060786,1
needless precipitance merely,0,1,0.3793003037571907,0.3793003037571907,1
"âĢľPride,âĢĿ said",0,0,0.3609198406338691,0.3609198406338691,1
A fine,6,8,0.3604335943236947,0.3604335943236947,1
precipitance merely to,1,1,0.3395343944430351,0.3395343944430351,1
of needless precipitance,0,1,0.3262666389346123,0.3262666389346123,1
"Lizzy,âĢĿ said her",0,0,0.3186603859066963,0.3186603859066963,1
"Lucas, âĢľis justifiable",0,0,0.3121740715578198,0.3121740715578198,1
"young man, with",0,0,0.3098231554031372,0.3098231554031372,1
precipitance merely,1,1,0.2998266369104385,0.2998266369104385,1
"alone. And so,",0,0,0.2974903834983706,0.2974903834983706,1
"was agreeable, though",0,0,0.2856041397899389,0.2856041397899389,1
her sister.,19,19,0.283768355846405,0.283768355846405,1
needless precipitance,0,1,0.2808182090520859,0.2808182090520859,1
"agreeable, though",0,0,0.2736183777451515,0.2736183777451515,1
âĢľis justifiable,0,1,0.27270083501935,0.27270083501935,1
Her performance was,1,1,0.2712613251060247,0.2712613251060247,1
"agreeable, though not",0,0,0.2699537286534905,0.2699537286534905,1
"performance was agreeable,",0,1,0.2663673590868711,0.2663673590868711,1
Her performance,1,1,0.2592755630612373,0.2592755630612373,1
entreaties to sing,0,1,0.2587303798645735,0.2587303798645735,1
eager for,0,1,0.2571115717291832,0.2571115717291832,1
eager for an,0,1,0.2558586904779076,0.2558586904779076,1
various entreaties to,0,1,0.2518704514950514,0.2518704514950514,1
"young man,",9,8,0.251293633133173,0.251293633133173,1
"Miss Lucas, âĢľis",0,0,0.2458655061200261,0.2458655061200261,1
and her sister.,2,2,0.2440442703664302,0.2440442703664302,1
Affectation of candour,1,1,0.2421763036400079,0.2421763036400079,1
himself entitled to,0,1,0.2328215911984443,0.2328215911984443,1
the various entreaties,0,1,0.2322936225682497,0.2322936225682497,1
various entreaties,0,1,0.2279775999486446,0.2279775999486446,1
others! Affectation of,0,0,0.2238420397043228,0.2238420397043228,1
perpetually eager for,0,1,0.2146795578300953,0.2146795578300953,1
"âĢľNay,âĢĿ cried",0,0,0.2047100737690925,0.2047100737690925,1
of candour is,1,1,0.204383859410882,0.204383859410882,1
most obedient and,0,1,0.1935272924602031,0.1935272924602031,1
entreaties to,0,1,0.1924751158803701,0.1924751158803701,1
"man, with fortune,",0,0,0.1909666582942009,0.1909666582942009,1
"was agreeable,",0,1,0.1874167080968618,0.1874167080968618,1
and PrejudiceâĢĶleft to,0,0,0.1851693484932184,0.1851693484932184,1
of candour,1,1,0.1741199530661106,0.1741199530661106,1
to make it,1,1,0.1703673377633094,0.1703673377633094,1
entitled to,6,4,0.1696194633841514,0.1696194633841514,1
of others! Affectation,0,0,0.1692155841737985,0.1692155841737985,1
